,X,y
215,[ 0.23939758 -0.36061697  0.30423968  0.97350085  0.1646003  -1.42307914],1
216,[-0.29331737 -0.17280807  0.1150482   1.17526848  0.02020609 -1.15719554],1
217,[-0.5391746  -0.23589309 -0.2825044   0.83406474  0.0082387  -1.21890603],1
218,[ 0.04833493  0.09107943  0.22589061  0.94150992  0.09700145 -1.33387956],1
219,[-0.23417335 -0.49614651 -0.29410864  1.1045584  -0.01663866 -1.18301979],1
220,[-0.32452447 -0.20770948  0.22638311  1.11856291  0.01727135 -1.24949268],1
221,[ 0.30251914  0.0080527  -0.65874201  1.09425487  0.22084788 -1.05184539],0
222,[ 1.07190446  0.23642437 -0.30093671  1.06640029  0.05587035  0.05586105],0
223,[-0.21961714 -0.05666654  0.1148443   1.07465754  0.0540595  -1.25395202],1
224,[-0.78525554  0.13247815 -0.51240331  1.1014398  -0.07604867 -1.10351294],1
225,[-0.74193113  0.24375846  0.14245284  0.946832   -0.07229494 -1.14732846],1
226,[-0.49839147 -0.39024556 -0.00787487  0.96991329  0.10182006 -1.39654753],1
227,[-0.0332983  -0.34013916 -0.26261298  1.04061021  0.16546056 -1.20245365],1
228,[ 0.14900759 -1.1064387  -0.37282257  0.86836031  0.17198138 -1.44297253],1
229,[ 0.65109556 -0.90755952  0.03263265  1.38421834 -0.60859866 -0.0128903 ],0
230,[-0.19555843 -0.68766874 -0.34613851  1.11274228  0.0969776  -1.17849022],0
231,[-0.26390742 -0.49117486 -0.06150546  1.00707257  0.0721332  -1.343187  ],1
232,[-1.06704241  0.25849691 -0.14705534  1.04695014 -0.09922459 -1.05748599],1
233,[-0.40545457 -0.73837169 -0.422265    1.17268979 -0.07593581 -1.08410962],1
234,[-0.30972622 -0.17627665  0.02744317  1.15138223  0.00998187 -1.21957564],1
235,[ 0.17007383 -0.45024232 -0.215296    1.27392344  0.00343662 -0.90100367],0
236,[ 0.2178202  -0.01875758  0.08508443  1.07520975  0.12269525 -1.35493381],1
237,[-0.23957418  0.08684112  0.19707386  1.12191737  0.00788968 -1.24030047],1
238,[-0.16861502 -0.56979249 -0.04462742  1.16162919 -0.07967301 -0.29209793],0
239,[-0.45451141 -0.09662427  0.13711318  1.1055778   0.00342802 -1.21473832],1
240,[ 0.40367817  0.30804409 -1.00367901  1.20350153 -0.03779236 -1.01406377],0
241,[ 0.40181272 -0.75358654 -0.02671068  1.02449945  0.14255947 -1.46141953],1
242,[-0.67623455 -0.27103773 -0.38615967  1.19562528  0.47800499 -0.4472559 ],0
243,[-0.02741192 -0.21181413  0.27545926  0.96647137  0.11182736 -1.37202119],1
244,[-0.34159273  0.34160507  0.20709749  1.14564402 -0.05400306 -1.07958698],1
245,[-0.47476823 -0.23374585  0.14564914  0.96916807 -0.00753457 -1.26640173],1
246,[ 0.20273679 -0.1392965   0.2211005   1.07313048  0.15966423 -1.31219052],1
247,[-0.74726277 -1.11977631 -1.0601666   1.26128996  0.17967416 -0.60584204],0
248,[ 0.12635868  0.0587431   0.12511919  0.91301404  0.10831612 -1.27325608],1
249,[-0.12451763 -0.98746445 -0.75927869  1.02541401  0.1254902  -1.2812073 ],1
250,[-0.29664751 -1.11209842 -0.36432956  1.00247236  0.10756982 -1.41078667],1
251,[-0.11402784 -0.08801444 -0.24167263  1.17797563  0.08760929 -1.12535023],1
252,[-0.43496607 -0.87714093  0.55561991  1.14108269  0.52794312  0.52763368],0
253,[-0.33274168 -0.51505605 -0.28333488  1.14302988 -0.01682342 -1.1096581 ],1
254,[ 0.18297187 -0.42060616 -0.43134914  1.13315407 -0.413888   -0.5715053 ],0
255,[ 0.41185278 -0.81355459 -0.17407734  0.90722309  0.20538886 -1.42678866],1
256,[ 0.36245243  0.09342491  0.01393768  1.05017304  0.12000811 -1.32075198],1
257,[ 0.13042242 -0.52134354 -0.23902447  1.06348642  0.14965686 -1.29348617],1
258,[ 0.02154801 -0.27134928 -0.07794344  1.13973537  0.06981945 -1.10704829],1
259,[ 0.34963633 -0.26611134 -0.2074007   0.97112997  0.14704915 -1.32819892],1
260,[-0.19608416 -0.45919774 -0.07254777  1.14380049  0.04573798 -1.25474315],1
261,[-0.18102006  0.08878064 -0.02213626  0.91210242  0.35953799 -0.13467781],0
262,[-0.1023153  -0.16401439  0.07519105  1.14905535  0.09903464 -1.19477824],1
263,[ 0.3106455  -0.32141389  0.12905482  1.29455962 -0.10005535 -0.26555006],0
264,[-0.07888838 -0.53493314 -0.37023619  1.20093549  0.11525207 -0.7951942 ],0
265,[-0.11403604  0.09073563  0.14313416  1.27239269 -0.12315753 -0.90976786],1
266,[ 0.07491112 -0.08410185 -0.55450833  1.1719182   0.05076923 -0.80571642],0
267,[-0.13070867 -0.23275187 -0.73268511  0.84405855  0.43666518 -0.46376979],0
268,[ 1.33862333  0.18014609 -1.28731118  1.21816379  0.37708175 -0.74934728],0
269,[-0.0043964  -0.27155074 -0.14264551  1.29179387  0.19721853 -0.58761397],0
270,[ 0.61235665 -0.24073697  0.05517608  0.99467735  0.18286074 -1.40968863],1
271,[ 0.24847003 -0.51973424  0.01070468  0.98877554  0.15805826 -1.39937726],1
272,[ 0.28228442  0.35894219 -0.02924292  1.16414899  0.04937018 -0.99282405],1
273,[ 0.33681709 -0.24706337 -0.72037521  1.07123985  0.38199801 -1.04687958],0
274,[-0.26659335  0.15406974 -0.40788415  1.26283237 -0.03721948 -0.8602717 ],0
275,[ 0.38346916 -0.12522926 -0.5190452   1.22346865  0.16841493 -1.0235312 ],0
